"","month","calYear","count","sitename","sitelat","sitelong","equipNO"
"1","11",2007,85,"Dome Forest View platform to Waiwhu rd",-36.3597319109657,174.62029451985,100057092
"2","12",2007,192,"Dome Forest View platform to Waiwhu rd",-36.3597319109657,174.62029451985,100057092
"3","01",2008,293,"Dome Forest View platform to Waiwhu rd",-36.3597319109657,174.62029451985,100057092
"4","02",2008,215,"Dome Forest View platform to Waiwhu rd",-36.3597319109657,174.62029451985,100057092
"5","03",2008,171,"Dome Forest View platform to Waiwhu rd",-36.3597319109657,174.62029451985,100057092
"6","04",2008,117,"Dome Forest View platform to Waiwhu rd",-36.3597319109657,174.62029451985,100057092
"7","05",2008,6,"Dome Forest View platform to Waiwhu rd",-36.3597319109657,174.62029451985,100057092
"8","06",2008,11,"Dome Forest View platform to Waiwhu rd",-36.3597319109657,174.62029451985,100057092
"9","07",2008,29,"Dome Forest View platform to Waiwhu rd",-36.3597319109657,174.62029451985,100057092
"10","08",2008,55,"Dome Forest View platform to Waiwhu rd",-36.3597319109657,174.62029451985,100057092
"11","09",2008,102,"Dome Forest View platform to Waiwhu rd",-36.3597319109657,174.62029451985,100057092
"12","10",2008,121,"Dome Forest View platform to Waiwhu rd",-36.3597319109657,174.62029451985,100057092
"13","11",2008,228,"Dome Forest View platform to Waiwhu rd",-36.3597319109657,174.62029451985,100057092
"14","12",2008,140,"Dome Forest View platform to Waiwhu rd",-36.3597319109657,174.62029451985,100057092
"15","01",2009,318,"Dome Forest View platform to Waiwhu rd",-36.3597319109657,174.62029451985,100057092
"16","02",2009,194,"Dome Forest View platform to Waiwhu rd",-36.3597319109657,174.62029451985,100057092
"17","03",2009,352,"Dome Forest View platform to Waiwhu rd",-36.3597319109657,174.62029451985,100057092
"18","04",2009,239,"Dome Forest View platform to Waiwhu rd",-36.3597319109657,174.62029451985,100057092
"19","05",2009,194,"Dome Forest View platform to Waiwhu rd",-36.3597319109657,174.62029451985,100057092
"20","06",2009,108,"Dome Forest View platform to Waiwhu rd",-36.3597319109657,174.62029451985,100057092
"21","07",2009,74,"Dome Forest View platform to Waiwhu rd",-36.3597319109657,174.62029451985,100057092
"22","05",2008,277,"Round Hill Track",-46.3316799596649,167.832460748357,100057063
"23","06",2008,174,"Round Hill Track",-46.3316799596649,167.832460748357,100057063
"24","07",2008,108,"Round Hill Track",-46.3316799596649,167.832460748357,100057063
"25","08",2008,151,"Round Hill Track",-46.3316799596649,167.832460748357,100057063
"26","09",2008,391,"Round Hill Track",-46.3316799596649,167.832460748357,100057063
"27","10",2008,445,"Round Hill Track",-46.3316799596649,167.832460748357,100057063
"28","11",2008,351,"Round Hill Track",-46.3316799596649,167.832460748357,100057063
"29","12",2008,419,"Round Hill Track",-46.3316799596649,167.832460748357,100057063
"30","01",2009,551,"Round Hill Track",-46.3316799596649,167.832460748357,100057063
"31","02",2009,294,"Round Hill Track",-46.3316799596649,167.832460748357,100057063
"32","03",2009,307,"Round Hill Track",-46.3316799596649,167.832460748357,100057063
"33","04",2009,434,"Round Hill Track",-46.3316799596649,167.832460748357,100057063
"34","05",2009,165,"Round Hill Track",-46.3316799596649,167.832460748357,100057063
"35","06",2009,206,"Round Hill Track",-46.3316799596649,167.832460748357,100057063
"36","07",2009,224,"Round Hill Track",-46.3316799596649,167.832460748357,100057063
"37","08",2009,210,"Round Hill Track",-46.3316799596649,167.832460748357,100057063
"38","09",2009,237,"Round Hill Track",-46.3316799596649,167.832460748357,100057063
"39","10",2009,266,"Round Hill Track",-46.3316799596649,167.832460748357,100057063
"40","11",2009,438,"Round Hill Track",-46.3316799596649,167.832460748357,100057063
"41","12",2009,397,"Round Hill Track",-46.3316799596649,167.832460748357,100057063
